lon,lat,country,code,continent,k
-127.5,54.5,Canada,124,Americas,0
-127.5,55.5,Canada,124,Americas,0
-126.5,53.5,Canada,124,Americas,0
-126.5,54.5,Canada,124,Americas,0
-125.5,49.5,Canada,124,Americas,0
-125.5,52.5,Canada,124,Americas,0
-125.5,54.5,Canada,124,Americas,0
-124.5,51.5,Canada,124,Americas,0
-124.5,52.5,Canada,124,Americas,0
-124.5,53.5,Canada,124,Americas,0
-124.5,54.5,Canada,124,Americas,0
-123.5,39.5,United States,840,Americas,1
-123.5,40.5,United States,840,Americas,0
-123.5,41.5,United States,840,Americas,0
-123.5,42.5,United States,840,Americas,3
-123.5,43.5,United States,840,Americas,5
-123.5,44.5,United States,840,Americas,9
-123.5,45.5,United States,840,Americas,9
-123.5,46.5,United States,840,Americas,2
-123.5,47.5,United States,840,Americas,1
-123.5,48.5,Canada,124,Americas,0
-123.5,49.5,Canada,124,Americas,0
-123.5,50.5,Canada,124,Americas,0
-123.5,51.5,Canada,124,Americas,0
-123.5,52.5,Canada,124,Americas,0
-123.5,53.5,Canada,124,Americas,0
-123.5,54.5,Canada,124,Americas,0
-122.5,38.5,United States,840,Americas,10
-122.5,39.5,United States,840,Americas,10
-122.5,40.5,United States,840,Americas,9
-122.5,41.5,United States,840,Americas,8
-122.5,42.5,United States,840,Americas,8
-122.5,43.5,United States,840,Americas,1
-122.5,44.5,United States,840,Americas,9
-122.5,45.5,United States,840,Americas,9
-122.5,46.5,United States,840,Americas,2
-122.5,48.5,United States,840,Americas,7
-122.5,49.5,Canada,124,Americas,6
-122.5,50.5,Canada,124,Americas,0
-122.5,51.5,Canada,124,Americas,0
-122.5,52.5,Canada,124,Americas,0
-122.5,53.5,Canada,124,Americas,0
-122.5,54.5,Canada,124,Americas,0
-122.5,55.5,Canada,124,Americas,0
-122.5,56.5,Canada,124,Americas,0
-122.5,57.5,Canada,124,Americas,0
-121.5,36.5,United States,840,Americas,10
-121.5,37.5,United States,840,Americas,10
-121.5,38.5,United States,840,Americas,10
-121.5,39.5,United States,840,Americas,10
-121.5,40.5,United States,840,Americas,6
-121.5,41.5,United States,840,Americas,10
-121.5,42.5,United States,840,Americas,10
-121.5,43.5,United States,840,Americas,6
-121.5,44.5,United States,840,Americas,9
-121.5,45.5,United States,840,Americas,6
-121.5,46.5,United States,840,Americas,0
-121.5,47.5,United States,840,Americas,0
-121.5,48.5,United States,840,Americas,0
-121.5,49.5,Canada,124,Americas,0
-121.5,50.5,Canada,124,Americas,0
-121.5,51.5,Canada,124,Americas,0
-121.5,52.5,Canada,124,Americas,0
-121.5,53.5,Canada,124,Americas,0
-121.5,55.5,Canada,124,Americas,0
-121.5,56.5,Canada,124,Americas,0
-121.5,57.5,Canada,124,Americas,0
-120.5,34.5,United States,840,Americas,10
-120.5,35.5,United States,840,Americas,10
-120.5,36.5,United States,840,Americas,10
-120.5,37.5,United States,840,Americas,10
-120.5,38.5,United States,840,Americas,4
-120.5,39.5,United States,840,Americas,3
-120.5,40.5,United States,840,Americas,8
-120.5,41.5,United States,840,Americas,9
-120.5,42.5,United States,840,Americas,8
-120.5,43.5,United States,840,Americas,7
-120.5,44.5,United States,840,Americas,9
-120.5,45.5,United States,840,Americas,7
-120.5,46.5,United States,840,Americas,10
-120.5,47.5,United States,840,Americas,8
-120.5,48.5,United States,840,Americas,0
-120.5,49.5,Canada,124,Americas,0
-120.5,50.5,Canada,124,Americas,5
-120.5,51.5,Canada,124,Americas,0
-120.5,53.5,Canada,124,Americas,0
-120.5,55.5,Canada,124,Americas,0
-120.5,56.5,Canada,124,Americas,0
-119.5,34.5,United States,840,Americas,8
-119.5,35.5,United States,840,Americas,10
-119.5,36.5,United States,840,Americas,10
-119.5,37.5,United States,840,Americas,9
-119.5,38.5,United States,840,Americas,8
-119.5,39.5,United States,840,Americas,8
-119.5,40.5,United States,840,Americas,0
-119.5,41.5,United States,840,Americas,1
-119.5,42.5,United States,840,Americas,4
-119.5,43.5,United States,840,Americas,6
-119.5,44.5,United States,840,Americas,6
-119.5,45.5,United States,840,Americas,9
-119.5,46.5,United States,840,Americas,10
-119.5,47.5,United States,840,Americas,10
-119.5,48.5,United States,840,Americas,7
-119.5,49.5,Canada,124,Americas,2
-119.5,50.5,Canada,124,Americas,8
-119.5,51.5,Canada,124,Americas,0
-119.5,53.5,Canada,124,Americas,0
-119.5,54.5,Canada,124,Americas,0
-119.5,55.5,Canada,124,Americas,0
-119.5,56.5,Canada,124,Americas,0
-118.5,34.5,United States,840,Americas,10
-118.5,35.5,United States,840,Americas,10
-118.5,36.5,United States,840,Americas,1
-118.5,37.5,United States,840,Americas,4
-118.5,38.5,United States,840,Americas,0
-118.5,39.5,United States,840,Americas,8
-118.5,40.5,United States,840,Americas,6
-118.5,41.5,United States,840,Americas,6
-118.5,42.5,United States,840,Americas,1
-118.5,43.5,United States,840,Americas,6
-118.5,44.5,United States,840,Americas,7
-118.5,45.5,United States,840,Americas,9
-118.5,46.5,United States,840,Americas,10
-118.5,47.5,United States,840,Americas,10
-118.5,48.5,United States,840,Americas,2
-118.5,49.5,Canada,124,Americas,0
-118.5,50.5,Canada,124,Americas,0
-118.5,54.5,Canada,124,Americas,0
-118.5,55.5,Canada,124,Americas,0
-118.5,56.5,Canada,124,Americas,0
-117.5,33.5,United States,840,Americas,10
-117.5,34.5,United States,840,Americas,4
-117.5,35.5,United States,840,Americas,0
-117.5,36.5,United States,840,Americas,0
-117.5,37.5,United States,840,Americas,0
-117.5,38.5,United States,840,Americas,0
-117.5,39.5,United States,840,Americas,0
-117.5,40.5,United States,840,Americas,1
-117.5,41.5,United States,840,Americas,8
-117.5,42.5,United States,840,Americas,1
-117.5,43.5,United States,840,Americas,9
-117.5,44.5,United States,840,Americas,9
-117.5,45.5,United States,840,Americas,9
-117.5,46.5,United States,840,Americas,1
-117.5,47.5,United States,840,Americas,6
-117.5,48.5,United States,840,Americas,2
-117.5,49.5,Canada,124,Americas,0
-117.5,51.5,Canada,124,Americas,0
-117.5,54.5,Canada,124,Americas,0
-117.5,55.5,Canada,124,Americas,0
-117.5,56.5,Canada,124,Americas,0
-117.5,57.5,Canada,124,Americas,0
-117.5,58.5,Canada,124,Americas,0
-116.5,31.5,Mexico,484,Americas,6
-116.5,32.5,Mexico,484,Americas,5
-116.5,33.5,United States,840,Americas,10
-116.5,34.5,United States,840,Americas,0
-116.5,35.5,United States,840,Americas,0
-116.5,36.5,United States,840,Americas,0
-116.5,37.5,United States,840,Americas,0
-116.5,38.5,United States,840,Americas,0
-116.5,39.5,United States,840,Americas,0
-116.5,40.5,United States,840,Americas,5
-116.5,41.5,United States,840,Americas,8
-116.5,42.5,United States,840,Americas,3
-116.5,43.5,United States,840,Americas,10
-116.5,44.5,United States,840,Americas,10
-116.5,45.5,United States,840,Americas,0
-116.5,46.5,United States,840,Americas,0
-116.5,47.5,United States,840,Americas,2
-116.5,48.5,United States,840,Americas,0
-116.5,49.5,Canada,124,Americas,0
-116.5,51.5,Canada,124,Americas,0
-116.5,53.5,Canada,124,Americas,0
-116.5,54.5,Canada,124,Americas,0
-116.5,55.5,Canada,124,Americas,0
-116.5,56.5,Canada,124,Americas,0
-116.5,57.5,Canada,124,Americas,0
-116.5,58.5,Canada,124,Americas,0
-115.5,30.5,Mexico,484,Americas,6
-115.5,31.5,Mexico,484,Americas,0
-115.5,32.5,Mexico,484,Americas,10
-115.5,33.5,United States,840,Americas,10
-115.5,35.5,United States,840,Americas,0
-115.5,36.5,United States,840,Americas,0
-115.5,37.5,United States,840,Americas,0
-115.5,38.5,United States,840,Americas,0
-115.5,39.5,United States,840,Americas,1
-115.5,40.5,United States,840,Americas,6
-115.5,41.5,United States,840,Americas,5
-115.5,42.5,United States,840,Americas,9
-115.5,43.5,United States,840,Americas,5
-115.5,44.5,United States,840,Americas,0
-115.5,45.5,United States,840,Americas,0
-115.5,46.5,United States,840,Americas,0
-115.5,47.5,United States,840,Americas,0
-115.5,48.5,United States,840,Americas,0
-115.5,49.5,Canada,124,Americas,0
-115.5,50.5,Canada,124,Americas,0
-115.5,52.5,Canada,124,Americas,0
-115.5,53.5,Canada,124,Americas,0
-115.5,54.5,Canada,124,Americas,0
-115.5,55.5,Canada,124,Americas,0
-115.5,58.5,Canada,124,Americas,0
-114.5,32.5,United States,840,Americas,10
-114.5,33.5,United States,840,Americas,10
-114.5,34.5,United States,840,Americas,9
-114.5,35.5,United States,840,Americas,0
-114.5,36.5,United States,840,Americas,0
-114.5,37.5,United States,840,Americas,0
-114.5,38.5,United States,840,Americas,0
-114.5,39.5,United States,840,Americas,0
-114.5,40.5,United States,840,Americas,0
-114.5,41.5,United States,840,Americas,0
-114.5,42.5,United States,840,Americas,10
-114.5,43.5,United States,840,Americas,10
-114.5,44.5,United States,840,Americas,0
-114.5,45.5,United States,840,Americas,0
-114.5,46.5,United States,840,Americas,5
-114.5,47.5,United States,840,Americas,9
-114.5,48.5,United States,840,Americas,7
-114.5,49.5,Canada,124,Americas,0
-114.5,50.5,Canada,124,Americas,0
-114.5,51.5,Canada,124,Americas,0
-114.5,52.5,Canada,124,Americas,0
-114.5,53.5,Canada,124,Americas,0
-114.5,54.5,Canada,124,Americas,0
-114.5,55.5,Canada,124,Americas,0
-113.5,27.5,Mexico,484,Americas,0
-113.5,32.5,United States,840,Americas,5
-113.5,33.5,United States,840,Americas,7
-113.5,34.5,United States,840,Americas,0
-113.5,35.5,United States,840,Americas,0
-113.5,36.5,United States,840,Americas,0
-113.5,37.5,United States,840,Americas,8
-113.5,38.5,United States,840,Americas,0
-113.5,39.5,United States,840,Americas,0
-113.5,40.5,United States,840,Americas,0
-113.5,41.5,United States,840,Americas,1
-113.5,42.5,United States,840,Americas,10
-113.5,43.5,United States,840,Americas,9
-113.5,44.5,United States,840,Americas,8
-113.5,45.5,United States,840,Americas,9
-113.5,46.5,United States,840,Americas,9
-113.5,47.5,United States,840,Americas,6
-113.5,48.5,United States,840,Americas,0
-113.5,49.5,Canada,124,Americas,9
-113.5,50.5,Canada,124,Americas,8
-113.5,51.5,Canada,124,Americas,7
-113.5,52.5,Canada,124,Americas,0
-113.5,53.5,Canada,124,Americas,0
-113.5,54.5,Canada,124,Americas,0
-113.5,55.5,Canada,124,Americas,0
-112.5,30.5,Mexico,484,Americas,8
-112.5,31.5,Mexico,484,Americas,3
-112.5,32.5,United States,840,Americas,7
-112.5,33.5,United States,840,Americas,10
-112.5,34.5,United States,840,Americas,0
-112.5,35.5,United States,840,Americas,0
-112.5,36.5,United States,840,Americas,0
-112.5,37.5,United States,840,Americas,5
-112.5,38.5,United States,840,Americas,8
-112.5,39.5,United States,840,Americas,8
-112.5,40.5,United States,840,Americas,5
-112.5,41.5,United States,840,Americas,9
-112.5,42.5,United States,840,Americas,10
-112.5,43.5,United States,840,Americas,10
-112.5,44.5,United States,840,Americas,10
-112.5,45.5,United States,840,Americas,9
-112.5,46.5,United States,840,Americas,8
-112.5,47.5,United States,840,Americas,6
-112.5,48.5,United States,840,Americas,8
-112.5,49.5,Canada,124,Americas,10
-112.5,50.5,Canada,124,Americas,10
-112.5,51.5,Canada,124,Americas,3
-112.5,52.5,Canada,124,Americas,0
-112.5,53.5,Canada,124,Americas,0
-112.5,54.5,Canada,124,Americas,0
-112.5,55.5,Canada,124,Americas,0
-111.5,24.5,Mexico,484,Americas,6
-111.5,25.5,Mexico,484,Americas,8
-111.5,28.5,Mexico,484,Americas,9
-111.5,29.5,Mexico,484,Americas,6
