lon,lat,country,code,continent,k
-127.4,55,Canada,124,Americas,0
-127,54.6,Canada,124,Americas,0
-126.6,54.2,Canada,124,Americas,0
-126.2,54.2,Canada,124,Americas,0
-125.8,54.2,Canada,124,Americas,0
-125.4,52.6,Canada,124,Americas,0
-125,49.4,Canada,124,Americas,0
-125,52.2,Canada,124,Americas,0
-125,53.8,Canada,124,Americas,0
-124.6,49.4,Canada,124,Americas,0
-124.6,51.8,Canada,124,Americas,0
-124.6,53.8,Canada,124,Americas,0
-124.2,40.6,United States,840,Americas,8
-124.2,41.8,United States,840,Americas,1
-124.2,42.2,United States,840,Americas,0
-124.2,42.6,United States,840,Americas,0
-124.2,43,United States,840,Americas,8
-124.2,43.4,United States,840,Americas,3
-124.2,47.4,United States,840,Americas,0
-124.2,47.8,United States,840,Americas,0
-124.2,48.2,United States,840,Americas,0
-124.2,49,Canada,124,Americas,0
-124.2,51.4,Canada,124,Americas,1
-124.2,52.2,Canada,124,Americas,0
-124.2,53.8,Canada,124,Americas,0
-124.2,54.2,Canada,124,Americas,0
-123.8,39.4,United States,840,Americas,0
-123.8,40.2,United States,840,Americas,0
-123.8,40.6,United States,840,Americas,0
-123.8,41,United States,840,Americas,0
-123.8,43,United States,840,Americas,0
-123.8,43.4,United States,840,Americas,0
-123.8,43.8,United States,840,Americas,1
-123.8,44.2,United States,840,Americas,0
-123.8,44.6,United States,840,Americas,1
-123.8,45,United States,840,Americas,1
-123.8,45.4,United States,840,Americas,2
-123.8,45.8,United States,840,Americas,1
-123.8,46.6,United States,840,Americas,1
-123.8,47,United States,840,Americas,1
-123.8,47.4,United States,840,Americas,0
-123.8,48.6,Canada,124,Americas,4
-123.8,49,Canada,124,Americas,1
-123.8,51.4,Canada,124,Americas,0
-123.8,52.2,Canada,124,Americas,0
-123.8,53.8,Canada,124,Americas,0
-123.8,54.2,Canada,124,Americas,0
-123.4,39,United States,840,Americas,3
-123.4,39.4,United States,840,Americas,5
-123.4,39.8,United States,840,Americas,1
-123.4,40.2,United States,840,Americas,0
-123.4,40.6,United States,840,Americas,0
-123.4,41,United States,840,Americas,0
-123.4,41.4,United States,840,Americas,0
-123.4,41.8,United States,840,Americas,0
-123.4,42.2,United States,840,Americas,5
-123.4,42.6,United States,840,Americas,4
-123.4,43,United States,840,Americas,7
-123.4,43.4,United States,840,Americas,6
-123.4,43.8,United States,840,Americas,5
-123.4,44.2,United States,840,Americas,9
-123.4,44.6,United States,840,Americas,7
-123.4,45,United States,840,Americas,8
-123.4,45.4,United States,840,Americas,8
-123.4,45.8,United States,840,Americas,2
