lon,lat,lanid12,lanid17,mirad12,mirad17,aim12,aim17,aim_valid
-124.5,42.9,539.154541015625,538.222595214844,510.095916748047,635.153076171875,0,0,0
-124.5,47.9,13.2299995422363,58.3199996948242,231.25,100,0,0,0
-124.3,42.3,11.9700002670288,4.40999984741211,156.198471069336,99.9484786987305,0,0,0
-124.3,42.5,8.64000034332275,13.2299995422363,62.5,50,0,0,0
-124.3,42.9,36.2700004577637,65.5199966430664,100,93.75,0,0,0
-124.3,43.1,571.392578125,577.685363769531,354.1435546875,346.106842041016,0,0,0
-124.3,43.3,22.6598205566406,16.3371086120605,0,0,0,0,0
-124.3,47.5,33.5699996948242,44.3699989318848,18.75,0,0,0,0
-124.3,47.7,3.42000007629395,22.4099998474121,0,0,0,0,0
-124.3,48.1,6.30000019073486,21.8700008392334,73.5988922119141,48.5988922119141,0,0,0
-124.1,40.7,0,0,454.651123046875,862.939575195312,0,0,0
-124.1,42.9,240.766876220703,288.350891113281,854.020690917969,1005.88732910156,0,0,0
-124.1,43.1,1239.46008300781,1333.77294921875,2483.53759765625,2052.48974609375,0,0,0
-124.1,43.3,81.8099975585938,71.2773590087891,362.5,251.578979492188,0,0,0
-124.1,43.5,8.36999988555908,7.19999980926514,12.5,0,0,0,0
-124.1,43.7,20.8799991607666,10.8000001907349,0,0,0,0,0
-124.1,47.1,108.720001220703,84.5999984741211,239.449356079102,164.283676147461,0,0,0
-124.1,47.3,6.53995227813721,0,68.75,50,0,0,0
-124.1,47.5,0,0,0,0,0,0,0
-123.9,40.1,0,0,0,0,0,0,0
-123.9,40.3,0,0,0,0,0,0,0
-123.9,40.5,0,0,12.5,0,0,0,0
-123.9,40.9,0,0,5.90981912612915,0.086371436715126,0,0,0
-123.9,41.1,0,0,0,0,0,0,0
-123.9,42.9,6.75,15.4159879684448,108.110687255859,37.4941177368164,0,0,0
-123.9,43.1,233.140609741211,214.100372314453,437.687530517578,444.203521728516,0,0,0
-123.9,43.7,6.75,0,0,0,0,0,0
